time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-06 00:00:00+00:00,39,18,26,11
2026-09-07 00:00:00+00:00,160,36,146,52
2026-09-08 00:00:00+00:00,52,20,256,145
2026-09-09 00:00:00+00:00,11,11,260,108
2026-09-10 00:00:00+00:00,14,10,151,53
2026-09-11 00:00:00+00:00,14,13,129,34
2026-09-12 00:00:00+00:00,93,24,107,34
2026-09-13 00:00:00+00:00,105,44,103,25
2026-09-14 00:00:00+00:00,26,14,114,43
2026-09-15 00:00:00+00:00,46,24,81,27
2026-09-16 00:00:00+00:00,5,5,122,35
2026-09-17 00:00:00+00:00,187,51,91,34
2026-09-18 00:00:00+00:00,44,27,479,188
2026-09-19 00:00:00+00:00,24,10,166,55
